tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CN51P0046_SDB002;N51P0046_SDB002;EAST_MIDLANDS;1;13;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51P0046_SDB002,N51P0046_SDB002,1,OdataApi)
CN12P0321_ANB6;N12P0321_ANB6;EAST_MIDLANDS;1;24;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN12P0321_ANB6,N12P0321_ANB6,1,OdataApi)
CN12G0320_IS128;N12G0320_IS128;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN12G0320_IS128,N12G0320_IS128,1,OdataApi)
CN12P2518_SW02;N12P2518_SW02;EAST_MIDLANDS;1;10;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN12P2518_SW02,N12P2518_SW02,1,OdataApi)
CS24490_SCADA_MODE;S24490_SCADA_MODE;EAST_MIDLANDS;1;18;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS24490_SCADA_MODE,S24490_SCADA_MODE,1,OdataApi)
CS24665_ANM_MW_FAILSAFE_IMP_SP;S24665_ANM_MW_FAILSAFE_IMP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVCF;;;
CALIAS_12594372_e;ALIAS_12594372_e;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_12594372_e,ALIAS_12594372_e,1,OdataApi)
CN51G0180_IS203;N51G0180_IS203;EAST_MIDLANDS;1;11;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51G0180_IS203,N51G0180_IS203,1,OdataApi)
CS24676_SCADA_MODE;S24676_SCADA_MODE;EAST_MIDLANDS;1;18;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS24676_SCADA_MODE,S24676_SCADA_MODE,1,OdataApi)
CN890094_TBANR;N890094_TBANR;EAST_MIDLANDS;1;22;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN890094_TBANR,N890094_TBANR,1,OdataApi)
CALIAS_834142_H;ALIAS_834142_H;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_834142_H,ALIAS_834142_H,1,OdataApi)
CS24711_ANM_MW_FAILSAFE_IMP_SP;S24711_ANM_MW_FAILSAFE_IMP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVCF;;;
CS24679_COMMS_FAIL;S24679_COMMS_FAIL;EAST_MIDLANDS;1;15;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS24679_COMMS_FAIL,S24679_COMMS_FAIL,1,OdataApi)
CALIAS_3809467_y;ALIAS_3809467_y;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_3809467_y,ALIAS_3809467_y,1,OdataApi)
CN51G0049_ANA4;N51G0049_ANA4;EAST_MIDLANDS;1;19;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN51G0049_ANA4,N51G0049_ANA4,1,OdataApi)
CALIAS_3788547_y;ALIAS_3788547_y;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_3788547_y,ALIAS_3788547_y,1,OdataApi)
CN898326_CB01;N898326_CB01;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN898326_CB01,N898326_CB01,1,OdataApi)
CN12P0420_CB2051;N12P0420_CB2051;EAST_MIDLANDS;1;8;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN12P0420_CB2051,N12P0420_CB2051,1,OdataApi)
