tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CN41G3013_CB2084;N41G3013_CB2084;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN41G3013_CB2084,N41G3013_CB2084,1,OdataApi)
CN926420_7686_ANA;N926420_7686_ANA;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN926420_7686_ANA,N926420_7686_ANA,1,OdataApi)
CALIAS_11528711_a;ALIAS_11528711_a;EAST_MIDLANDS;1;10;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_11528711_a,ALIAS_11528711_a,1,OdataApi)
CN41P0015_ANB1;N41P0015_ANB1;EAST_MIDLANDS;1;17;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN41P0015_ANB1,N41P0015_ANB1,1,OdataApi)
CALIAS_4735828_E;ALIAS_4735828_E;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4735828_E,ALIAS_4735828_E,1,OdataApi)
CN00G0021_IS183;N00G0021_IS183;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0021_IS183,N00G0021_IS183,1,OdataApi)
CN41P0046_CB01;N41P0046_CB01;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN41P0046_CB01,N41P0046_CB01,1,OdataApi)
CALIAS_4295147_E;ALIAS_4295147_E;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4295147_E,ALIAS_4295147_E,1,OdataApi)
CALIAS_4741707_E;ALIAS_4741707_E;EAST_MIDLANDS;1;17;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4741707_E,ALIAS_4741707_E,1,OdataApi)
CN946174_7686_ANA;N946174_7686_ANA;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN946174_7686_ANA,N946174_7686_ANA,1,OdataApi)
CN00G0021_IS134;N00G0021_IS134;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0021_IS134,N00G0021_IS134,1,OdataApi)
CALIAS_214318_m;ALIAS_214318_m;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_214318_m,ALIAS_214318_m,1,OdataApi)
CALIAS_4295320_E;ALIAS_4295320_E;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4295320_E,ALIAS_4295320_E,1,OdataApi)
CALIAS_290928_p;ALIAS_290928_p;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_290928_p,ALIAS_290928_p,1,OdataApi)
CALIAS_946751_I;ALIAS_946751_I;EAST_MIDLANDS;1;17;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_946751_I,ALIAS_946751_I,1,OdataApi)
CWM3012_07990041189_VOLT;WM3012_07990041189_VOLT;EAST_MIDLANDS;1;18;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CWM3012_07990041189_VOLT,WM3012_07990041189_VOLT,1,OdataApi)
CALIAS_179320_I;ALIAS_179320_I;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_179320_I,ALIAS_179320_I,1,OdataApi)
CN41P0034_ANB9;N41P0034_ANB9;EAST_MIDLANDS;1;16;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN41P0034_ANB9,N41P0034_ANB9,1,OdataApi)
CN41P0015_CB02;N41P0015_CB02;EAST_MIDLANDS;1;10;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN41P0015_CB02,N41P0015_CB02,1,OdataApi)
CALIAS_3312589_E;ALIAS_3312589_E;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_3312589_E,ALIAS_3312589_E,1,OdataApi)
CN940038_05ANL;N940038_05ANL;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN940038_05ANL,N940038_05ANL,1,OdataApi)
CALIAS_3312525_E;ALIAS_3312525_E;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_3312525_E,ALIAS_3312525_E,1,OdataApi)
CWM3012_07990043025_AMPS;WM3012_07990043025_AMPS;EAST_MIDLANDS;1;17;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CWM3012_07990043025_AMPS,WM3012_07990043025_AMPS,1,OdataApi)
CS1122602_ANM_MW_EXP_SP;S1122602_ANM_MW_EXP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVEC;;;
CALIAS_3654685_E;ALIAS_3654685_E;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_3654685_E,ALIAS_3654685_E,1,OdataApi)
CALIAS_4465712_E;ALIAS_4465712_E;EAST_MIDLANDS;1;9;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_4465712_E,ALIAS_4465712_E,1,OdataApi)
