tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CN33G3063_HB15;N33G3063_HB15;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN33G3063_HB15,N33G3063_HB15,1,OdataApi)
CN32PM024_SDL64_ENDE;N32PM024_SDL64;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoTWOOData_Data_StateQTimeTag(CN32PM024_SDL64_ENDE,N32PM024_SDL64_ENDE,N32PM024_SDL64_WILL,1,OdataApi)
CALIAS_3941116_E;ALIAS_3941116_E;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_3941116_E,ALIAS_3941116_E,1,OdataApi)
CN33PM037_CB01;N33PM037_CB01;EAST_MIDLANDS;1;8;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN33PM037_CB01,N33PM037_CB01,1,OdataApi)
CN32G0014_IS413;N32G0014_IS413;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN32G0014_IS413,N32G0014_IS413,1,OdataApi)
CN920003_01ANR;N920003_01ANR;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN920003_01ANR,N920003_01ANR,1,OdataApi)
CALIAS_943526_E;ALIAS_943526_E;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_943526_E,ALIAS_943526_E,1,OdataApi)
CN33G3039_CB2060;N33G3039_CB2060;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN33G3039_CB2060,N33G3039_CB2060,1,OdataApi)
CALIAS_4727280_E;ALIAS_4727280_E;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_4727280_E,ALIAS_4727280_E,1,OdataApi)
CN33PM050_ANB2;N33PM050_ANB2;EAST_MIDLANDS;1;9;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN33PM050_ANB2,N33PM050_ANB2,1,OdataApi)
CN00G0023_CB230;N00G0023_CB230;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0023_CB230,N00G0023_CB230,1,OdataApi)
CN00G0023_CB105;N00G0023_CB105;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0023_CB105,N00G0023_CB105,1,OdataApi)
CN32PM012_SDB72;N32PM012_SDB72;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN32PM012_SDB72,N32PM012_SDB72,1,OdataApi)
CS1123072_ANM_MW_EXP_SP;S1123072_ANM_MW_EXP_SP;EAST_MIDLANDS;5;16;REAL;POWERON_ZIVEN;;;
CN32PM012_CB01;N32PM012_CB01;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN32PM012_CB01,N32PM012_CB01,1,OdataApi)
CN33PM036_CB02;N33PM036_CB02;EAST_MIDLANDS;1;8;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN33PM036_CB02,N33PM036_CB02,1,OdataApi)
CN920034_CB03;N920034_CB03;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN920034_CB03,N920034_CB03,1,OdataApi)
CN32PM062_CB03;N32PM062_CB03;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN32PM062_CB03,N32PM062_CB03,1,OdataApi)
CN32PM011_SDL69;N32PM011_SDL69;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN32PM011_SDL69,N32PM011_SDL69,1,OdataApi)
CN32PM015_ANA0;N32PM015_ANA0;EAST_MIDLANDS;1;16;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN32PM015_ANA0,N32PM015_ANA0,1,OdataApi)
CN32PM500_ANA5;N32PM500_ANA5;EAST_MIDLANDS;1;11;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN32PM500_ANA5,N32PM500_ANA5,1,OdataApi)
CS1123056_SCADA_MODE;S1123056_SCADA_MODE;EAST_MIDLANDS;1;8;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS1123056_SCADA_MODE,S1123056_SCADA_MODE,1,OdataApi)
CN33G0042_IS103;N33G0042_IS103;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN33G0042_IS103,N33G0042_IS103,1,OdataApi)
CALIAS_4677489_E;ALIAS_4677489_E;EAST_MIDLANDS;1;11;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4677489_E,ALIAS_4677489_E,1,OdataApi)
CN33G3039_7694;N33G3039_7694;EAST_MIDLANDS;1;12;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN33G3039_7694,N33G3039_7694,1,OdataApi)
CALIAS_3941603_E;ALIAS_3941603_E;EAST_MIDLANDS;1;11;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_3941603_E,ALIAS_3941603_E,1,OdataApi)
CN33PM036_ANC0;N33PM036_ANC0;EAST_MIDLANDS;1;16;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN33PM036_ANC0,N33PM036_ANC0,1,OdataApi)
CALIAS_3762317_E;ALIAS_3762317_E;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_3762317_E,ALIAS_3762317_E,1,OdataApi)
CN00G0023_IS503;N00G0023_IS503;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0023_IS503,N00G0023_IS503,1,OdataApi)
CN920003_03ANR;N920003_03ANR;EAST_MIDLANDS;1;12;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN920003_03ANR,N920003_03ANR,1,OdataApi)
CN33G3039_CB2055;N33G3039_CB2055;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN33G3039_CB2055,N33G3039_CB2055,1,OdataApi)
