tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CS634499_ANM_MVAR_FAILSAFE_IMP_SP;S634499_ANM_MVAR_FAILSAFE_IMP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVGR;;;
CN44G3002_HB06;N44G3002_HB06;EAST_MIDLANDS;1;15;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN44G3002_HB06,N44G3002_HB06,1,OdataApi)
CN32PM016_CB02;N32PM016_CB02;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN32PM016_CB02,N32PM016_CB02,1,OdataApi)
CALIAS_1061414_H;ALIAS_1061414_H;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_1061414_H,ALIAS_1061414_H,1,OdataApi)
CS634499_ANM_MVAR_IMP_SP;S634499_ANM_MVAR_IMP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVGR;;;
CS634590_ANM_MVAR_EXP_SP;S634590_ANM_MVAR_EXP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVGR;;;
CALIAS_652968_H;ALIAS_652968_H;EAST_MIDLANDS;1;10;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_652968_H,ALIAS_652968_H,1,OdataApi)
CS634573_ANM_MW;S634573_ANM_MW;EAST_MIDLANDS;1;33;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CS634573_ANM_MW,S634573_ANM_MW,1,OdataApi)
CN33G0046_ANA1;N33G0046_ANA1;EAST_MIDLANDS;1;25;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN33G0046_ANA1,N33G0046_ANA1,1,OdataApi)
CS634795_AUTOMATION_EN;S634795_AUTOMATION_EN;EAST_MIDLANDS;1;16;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS634795_AUTOMATION_EN,S634795_AUTOMATION_EN,1,OdataApi)
CN44P0001_7686;N44P0001_7686;EAST_MIDLANDS;1;26;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN44P0001_7686,N44P0001_7686,1,OdataApi)
CS634506_COMMS_FAIL;S634506_COMMS_FAIL;EAST_MIDLANDS;1;16;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS634506_COMMS_FAIL,S634506_COMMS_FAIL,1,OdataApi)
CALIAS_3059293_E;ALIAS_3059293_E;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_3059293_E,ALIAS_3059293_E,1,OdataApi)
CALIAS_3542639_E;ALIAS_3542639_E;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_3542639_E,ALIAS_3542639_E,1,OdataApi)
CN690008_08ANL;N690008_08ANL;EAST_MIDLANDS;1;21;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN690008_08ANL,N690008_08ANL,1,OdataApi)
CN43G0034_IS296;N43G0034_IS296;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN43G0034_IS296,N43G0034_IS296,1,OdataApi)
