tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CN883456_7684_ANA;N883456_7684_ANA;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN883456_7684_ANA,N883456_7684_ANA,1,OdataApi)
CN51GC001_IS1106;N51GC001_IS1106;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51GC001_IS1106,N51GC001_IS1106,1,OdataApi)
CS22965_ANM_MW_IMP_SP;S22965_ANM_MW_IMP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVSH;;;
CN51GC001_ANB5_STAY;N51GC001_ANB5;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoTWOOData_Data_RealQTimeTag(CN51GC001_ANB5_STAY,N51GC001_ANB5_STAY,N51GC001_ANB5_WILL,1,OdataApi)
CN890010_02ANW;N890010_02ANW;EAST_MIDLANDS;1;11;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN890010_02ANW,N890010_02ANW,1,OdataApi)
CN890044_2S0ANW_STAY;N890044_2S0ANW;EAST_MIDLANDS;1;12;Data_RealQTimeTag;global;;;ICCPtoTWOOData_Data_RealQTimeTag(CN890044_2S0ANW_STAY,N890044_2S0ANW_STAY,N890044_2S0ANW_WBUR,1,OdataApi)
CS11484_ANM_MVAR;S11484_ANM_MVAR;EAST_MIDLANDS;1;16;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CS11484_ANM_MVAR,S11484_ANM_MVAR,1,OdataApi)
CN880038_04ANV;N880038_04ANV;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN880038_04ANV,N880038_04ANV,1,OdataApi)
CALIAS_28017_R;ALIAS_28017_R;EAST_MIDLANDS;1;11;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_28017_R,ALIAS_28017_R,1,OdataApi)
CN898284_CB01;N898284_CB01;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN898284_CB01,N898284_CB01,1,OdataApi)
CN890010_07ANR;N890010_07ANR;EAST_MIDLANDS;1;11;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN890010_07ANR,N890010_07ANR,1,OdataApi)
CN52P1095_CB03;N52P1095_CB03;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN52P1095_CB03,N52P1095_CB03,1,OdataApi)
CALIAS_4411572_E;ALIAS_4411572_E;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_4411572_E,ALIAS_4411572_E,1,OdataApi)
CALIAS_4236870_E;ALIAS_4236870_E;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_4236870_E,ALIAS_4236870_E,1,OdataApi)
CN898284_7687_ANA;N898284_7687_ANA;EAST_MIDLANDS;1;12;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN898284_7687_ANA,N898284_7687_ANA,1,OdataApi)
CN51P0074_ANA9;N51P0074_ANA9;EAST_MIDLANDS;1;11;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN51P0074_ANA9,N51P0074_ANA9,1,OdataApi)
CN51GC001_ANA1_STAY;N51GC001_ANA1;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoTWOOData_Data_RealQTimeTag(CN51GC001_ANA1_STAY,N51GC001_ANA1_STAY,N51GC001_ANA1_CHES,1,OdataApi)
CN23ET045_AR01;N23ET045_AR01;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN23ET045_AR01,N23ET045_AR01,1,OdataApi)
CN898435_7684_ANA;N898435_7684_ANA;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN898435_7684_ANA,N898435_7684_ANA,1,OdataApi)
CN51P0059_SDB06;N51P0059_SDB06;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51P0059_SDB06,N51P0059_SDB06,1,OdataApi)
CN680013_IS113;N680013_IS113;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN680013_IS113,N680013_IS113,1,OdataApi)
CALIAS_248729_R;ALIAS_248729_R;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_248729_R,ALIAS_248729_R,1,OdataApi)
CN890010_CB04;N890010_CB04;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN890010_CB04,N890010_CB04,1,OdataApi)
CALIAS_169753_p;ALIAS_169753_p;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_169753_p,ALIAS_169753_p,1,OdataApi)
CN51P0074_HB01;N51P0074_HB01;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51P0074_HB01,N51P0074_HB01,1,OdataApi)
CN22P0135_SDT01;N22P0135_SDT01;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN22P0135_SDT01,N22P0135_SDT01,1,OdataApi)
CALIAS_1749491_E;ALIAS_1749491_E;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_1749491_E,ALIAS_1749491_E,1,OdataApi)
CN51P0074_SDT01;N51P0074_SDT01;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51P0074_SDT01,N51P0074_SDT01,1,OdataApi)
CS23009_ANM_MVAR;S23009_ANM_MVAR;EAST_MIDLANDS;1;16;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CS23009_ANM_MVAR,S23009_ANM_MVAR,1,OdataApi)
CALIAS_249878_R;ALIAS_249878_R;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_249878_R,ALIAS_249878_R,1,OdataApi)
CN23P0373_ANA4;N23P0373_ANA4;EAST_MIDLANDS;1;11;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN23P0373_ANA4,N23P0373_ANA4,1,OdataApi)
CN51P0077_ANA0;N51P0077_ANA0;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN51P0077_ANA0,N51P0077_ANA0,1,OdataApi)
CS22854_COMMS_FAIL;S22854_COMMS_FAIL;EAST_MIDLANDS;1;9;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS22854_COMMS_FAIL,S22854_COMMS_FAIL,1,OdataApi)
CN890010_03ANW;N890010_03ANW;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN890010_03ANW,N890010_03ANW,1,OdataApi)
CS23078_COMMS_FAIL;S23078_COMMS_FAIL;EAST_MIDLANDS;1;8;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS23078_COMMS_FAIL,S23078_COMMS_FAIL,1,OdataApi)
CN00G0025_CB220;N00G0025_CB220;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0025_CB220,N00G0025_CB220,1,OdataApi)
CN900026_04ANW;N900026_04ANW;EAST_MIDLANDS;1;12;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN900026_04ANW,N900026_04ANW,1,OdataApi)
CALIAS_4663617_E;ALIAS_4663617_E;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4663617_E,ALIAS_4663617_E,1,OdataApi)
CALIAS_4236932_E;ALIAS_4236932_E;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_4236932_E,ALIAS_4236932_E,1,OdataApi)
CN51P0059_HB01;N51P0059_HB01;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51P0059_HB01,N51P0059_HB01,1,OdataApi)
CALIAS_4235642_E;ALIAS_4235642_E;EAST_MIDLANDS;1;12;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4235642_E,ALIAS_4235642_E,1,OdataApi)
CALIAS_4519340_E;ALIAS_4519340_E;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_4519340_E,ALIAS_4519340_E,1,OdataApi)
CN898347_CB01;N898347_CB01;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN898347_CB01,N898347_CB01,1,OdataApi)
CALIAS_169654_p;ALIAS_169654_p;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_169654_p,ALIAS_169654_p,1,OdataApi)
CALIAS_12472457_e;ALIAS_12472457_e;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_12472457_e,ALIAS_12472457_e,1,OdataApi)
CS22776_ANM_MW_EXP_SP;S22776_ANM_MW_EXP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVSH;;;
CN890010_12ANW;N890010_12ANW;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN890010_12ANW,N890010_12ANW,1,OdataApi)
CS23073_ANM_MW_FAILSAFE_IMP_SP;S23073_ANM_MW_FAILSAFE_IMP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVSH;;;
CALIAS_4819436_E;ALIAS_4819436_E;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4819436_E,ALIAS_4819436_E,1,OdataApi)
CN51GC001_IS128;N51GC001_IS128;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51GC001_IS128,N51GC001_IS128,1,OdataApi)
CS22827_ANM_MVAR_EXP_SP;S22827_ANM_MVAR_EXP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVSH;;;
CALIAS_3669164_E;ALIAS_3669164_E;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_3669164_E,ALIAS_3669164_E,1,OdataApi)
CN51GB001_IS234;N51GB001_IS234;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51GB001_IS234,N51GB001_IS234,1,OdataApi)
CS23020_ANM_MVAR;S23020_ANM_MVAR;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CS23020_ANM_MVAR,S23020_ANM_MVAR,1,OdataApi)
CN897792_7686_ANA;N897792_7686_ANA;EAST_MIDLANDS;1;12;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN897792_7686_ANA,N897792_7686_ANA,1,OdataApi)
CN00G0025_AND4;N00G0025_AND4;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN00G0025_AND4,N00G0025_AND4,1,OdataApi)
CN890044_3L5ANR;N890044_3L5ANR;EAST_MIDLANDS;1;12;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN890044_3L5ANR,N890044_3L5ANR,1,OdataApi)
CS22899_ANM_MW_EXP_SP;S22899_ANM_MW_EXP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVSH;;;
CS22899_ANM_MVAR_IMP_SP;S22899_ANM_MVAR_IMP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVSH;;;
CN51GB001_1_1005ANL;N51GB001_1_1005ANL;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN51GB001_1_1005ANL,N51GB001_1_1005ANL,1,OdataApi)
CS22867_ANM_MVAR_EXP_SP;S22867_ANM_MVAR_EXP_SP;EAST_MIDLANDS;5;0;REAL;POWERON_ZIVSH;;;
CN898483_7684_ANA;N898483_7684_ANA;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN898483_7684_ANA,N898483_7684_ANA,1,OdataApi)
CALIAS_731570_H;ALIAS_731570_H;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_731570_H,ALIAS_731570_H,1,OdataApi)
CALIAS_852563_H;ALIAS_852563_H;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_852563_H,ALIAS_852563_H,1,OdataApi)
CN890010_10ANL;N890010_10ANL;EAST_MIDLANDS;1;11;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN890010_10ANL,N890010_10ANL,1,OdataApi)
CN51P0070_CB02;N51P0070_CB02;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51P0070_CB02,N51P0070_CB02,1,OdataApi)
CN51GB001_1_1105ANL;N51GB001_1_1105ANL;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN51GB001_1_1105ANL,N51GB001_1_1105ANL,1,OdataApi)
CN23ET046_AN20;N23ET046_AN20;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN23ET046_AN20,N23ET046_AN20,1,OdataApi)
CN51GB001_IS316;N51GB001_IS316;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51GB001_IS316,N51GB001_IS316,1,OdataApi)
CALIAS_578140_q;ALIAS_578140_q;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_578140_q,ALIAS_578140_q,1,OdataApi)
CN51P0074_CB02;N51P0074_CB02;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51P0074_CB02,N51P0074_CB02,1,OdataApi)
CALIAS_4709406_E;ALIAS_4709406_E;EAST_MIDLANDS;1;12;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4709406_E,ALIAS_4709406_E,1,OdataApi)
CN51P0066_ANA7;N51P0066_ANA7;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN51P0066_ANA7,N51P0066_ANA7,1,OdataApi)
CALIAS_4236990_E;ALIAS_4236990_E;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_4236990_E,ALIAS_4236990_E,1,OdataApi)
CALIAS_68009_R;ALIAS_68009_R;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_68009_R,ALIAS_68009_R,1,OdataApi)
CS22965_LOCAL_MODE;S22965_LOCAL_MODE;EAST_MIDLANDS;1;9;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS22965_LOCAL_MODE,S22965_LOCAL_MODE,1,OdataApi)
CN900026_04ANV;N900026_04ANV;EAST_MIDLANDS;1;12;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN900026_04ANV,N900026_04ANV,1,OdataApi)
CN51GB001_IS904;N51GB001_IS904;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51GB001_IS904,N51GB001_IS904,1,OdataApi)
CN00G0025_IS143;N00G0025_IS143;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0025_IS143,N00G0025_IS143,1,OdataApi)
