tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CN23P5126_CB06;N23P5126_CB06;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN23P5126_CB06,N23P5126_CB06,1,OdataApi)
CN00G0038_CB405;N00G0038_CB405;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0038_CB405,N00G0038_CB405,1,OdataApi)
CN890044_1L5ANV;N890044_1L5ANV;EAST_MIDLANDS;1;8;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN890044_1L5ANV,N890044_1L5ANV,1,OdataApi)
CN00G0038_132_IS204;N00G0038_132_IS204;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0038_132_IS204,N00G0038_132_IS204,1,OdataApi)
CS23196_AUTOMATION_EN;S23196_AUTOMATION_EN;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS23196_AUTOMATION_EN,S23196_AUTOMATION_EN,1,OdataApi)
CN23P0372_ANA1;N23P0372_ANA1;EAST_MIDLANDS;1;7;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN23P0372_ANA1,N23P0372_ANA1,1,OdataApi)
CN00G0038_HB280;N00G0038_HB280;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0038_HB280,N00G0038_HB280,1,OdataApi)
CN907046_03ANW;N907046_03ANW;EAST_MIDLANDS;1;7;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN907046_03ANW,N907046_03ANW,1,OdataApi)
CALIAS_449523_r;ALIAS_449523_r;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_449523_r,ALIAS_449523_r,1,OdataApi)
CN23P0094_7718;N23P0094_7718;EAST_MIDLANDS;1;9;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN23P0094_7718,N23P0094_7718,1,OdataApi)
CS23200_ANM_MW_IMP_SP;S23200_ANM_MW_IMP_SP;EAST_MIDLANDS;5;1;REAL;POWERON_ZIVWB;;;
