tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CN14P2054_ANB0;N14P2054_ANB0;EAST_MIDLANDS;1;21;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN14P2054_ANB0,N14P2054_ANB0,1,OdataApi)
CN51GC001_IS903;N51GC001_IS903;EAST_MIDLANDS;1;9;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51GC001_IS903,N51GC001_IS903,1,OdataApi)
CALIAS_73061_m;ALIAS_73061_m;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_73061_m,ALIAS_73061_m,1,OdataApi)
CN14P2074_ANB3;N14P2074_ANB3;EAST_MIDLANDS;1;19;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN14P2074_ANB3,N14P2074_ANB3,1,OdataApi)
CN870028_3L5ANV;N870028_3L5ANV;EAST_MIDLANDS;1;17;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN870028_3L5ANV,N870028_3L5ANV,1,OdataApi)
CALIAS_720845_E;ALIAS_720845_E;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_720845_E,ALIAS_720845_E,1,OdataApi)
CN870009_1S0ANL;N870009_1S0ANL;EAST_MIDLANDS;1;19;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN870009_1S0ANL,N870009_1S0ANL,1,OdataApi)
CALIAS_3839528_E;ALIAS_3839528_E;EAST_MIDLANDS;1;16;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_3839528_E,ALIAS_3839528_E,1,OdataApi)
CN14P2053_CB01;N14P2053_CB01;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN14P2053_CB01,N14P2053_CB01,1,OdataApi)
CN890028_IS1S8;N890028_IS1S8;EAST_MIDLANDS;1;9;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN890028_IS1S8,N890028_IS1S8,1,OdataApi)
CN14G0036_AND6;N14G0036_AND6;EAST_MIDLANDS;1;18;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN14G0036_AND6,N14G0036_AND6,1,OdataApi)
CN14P2061_ANA0;N14P2061_ANA0;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN14P2061_ANA0,N14P2061_ANA0,1,OdataApi)
CN14P2052_CB01;N14P2052_CB01;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN14P2052_CB01,N14P2052_CB01,1,OdataApi)
CN14G3001_HB05;N14G3001_HB05;EAST_MIDLANDS;1;12;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN14G3001_HB05,N14G3001_HB05,1,OdataApi)
CN12P2513_CB02;N12P2513_CB02;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN12P2513_CB02,N12P2513_CB02,1,OdataApi)
CN12P5103_7694;N12P5103_7694;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN12P5103_7694,N12P5103_7694,1,OdataApi)
CN00G0039_CB780;N00G0039_CB780;EAST_MIDLANDS;1;10;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0039_CB780,N00G0039_CB780,1,OdataApi)
CALIAS_4234920_E;ALIAS_4234920_E;EAST_MIDLANDS;1;17;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_4234920_E,ALIAS_4234920_E,1,OdataApi)
CALIAS_259956_E;ALIAS_259956_E;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_259956_E,ALIAS_259956_E,1,OdataApi)
CN12P5103_7685;N12P5103_7685;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN12P5103_7685,N12P5103_7685,1,OdataApi)
CALIAS_96601_m;ALIAS_96601_m;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_96601_m,ALIAS_96601_m,1,OdataApi)
CN14G0036_IS234;N14G0036_IS234;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN14G0036_IS234,N14G0036_IS234,1,OdataApi)
CALIAS_192201_H;ALIAS_192201_H;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_192201_H,ALIAS_192201_H,1,OdataApi)
CN14G0036_IS166;N14G0036_IS166;EAST_MIDLANDS;1;8;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN14G0036_IS166,N14G0036_IS166,1,OdataApi)
CALIAS_1310137_E;ALIAS_1310137_E;EAST_MIDLANDS;1;8;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_1310137_E,ALIAS_1310137_E,1,OdataApi)
CN14P2064_7687;N14P2064_7687;EAST_MIDLANDS;1;18;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN14P2064_7687,N14P2064_7687,1,OdataApi)
CN12G3527_HB02;N12G3527_HB02;EAST_MIDLANDS;1;11;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN12G3527_HB02,N12G3527_HB02,1,OdataApi)
CN00G0015_IS213;N00G0015_IS213;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0015_IS213,N00G0015_IS213,1,OdataApi)
CN883362_CB01;N883362_CB01;EAST_MIDLANDS;1;9;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN883362_CB01,N883362_CB01,1,OdataApi)
CN14P0043_ANB0;N14P0043_ANB0;EAST_MIDLANDS;1;18;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN14P0043_ANB0,N14P0043_ANB0,1,OdataApi)
CALIAS_4690808_E;ALIAS_4690808_E;EAST_MIDLANDS;1;9;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_4690808_E,ALIAS_4690808_E,1,OdataApi)
CN00G0039_1_205ANL;N00G0039_1_205ANL;EAST_MIDLANDS;1;20;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN00G0039_1_205ANL,N00G0039_1_205ANL,1,OdataApi)
CN14G0036_ANC6;N14G0036_ANC6;EAST_MIDLANDS;1;18;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN14G0036_ANC6,N14G0036_ANC6,1,OdataApi)
CN00G0039_1_905ANL;N00G0039_1_905ANL;EAST_MIDLANDS;1;20;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN00G0039_1_905ANL,N00G0039_1_905ANL,1,OdataApi)
CN14G0036_ANA1;N14G0036_ANA1;EAST_MIDLANDS;1;18;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN14G0036_ANA1,N14G0036_ANA1,1,OdataApi)
CN870007_04ANW;N870007_04ANW;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN870007_04ANW,N870007_04ANW,1,OdataApi)
CN875043_7684_ANA;N875043_7684_ANA;EAST_MIDLANDS;1;17;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN875043_7684_ANA,N875043_7684_ANA,1,OdataApi)
CN42537_7695;N42537_7695;EAST_MIDLANDS;1;18;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN42537_7695,N42537_7695,1,OdataApi)
CN12P5069_CB01;N12P5069_CB01;EAST_MIDLANDS;1;11;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN12P5069_CB01,N12P5069_CB01,1,OdataApi)
CN870012_2L5ANL;N870012_2L5ANL;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN870012_2L5ANL,N870012_2L5ANL,1,OdataApi)
CN51G0049_IS703_WILL;N51G0049_IS703;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoTWOOData_Data_StateQTimeTag(CN51G0049_IS703_WILL,N51G0049_IS703_WILL,N51G0049_IS703_CHES,1,OdataApi)
CN52P7466_7685;N52P7466_7685;EAST_MIDLANDS;1;17;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN52P7466_7685,N52P7466_7685,1,OdataApi)
CN870009_6L5ANL;N870009_6L5ANL;EAST_MIDLANDS;1;20;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN870009_6L5ANL,N870009_6L5ANL,1,OdataApi)
CN12P5103_CB2062;N12P5103_CB2062;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN12P5103_CB2062,N12P5103_CB2062,1,OdataApi)
CN680036_CB110;N680036_CB110;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN680036_CB110,N680036_CB110,1,OdataApi)
CN00G0039_IS1003;N00G0039_IS1003;EAST_MIDLANDS;1;11;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0039_IS1003,N00G0039_IS1003,1,OdataApi)
CN870009_1T0ANV;N870009_1T0ANV;EAST_MIDLANDS;1;19;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN870009_1T0ANV,N870009_1T0ANV,1,OdataApi)
CN12P2524_ANC5;N12P2524_ANC5;EAST_MIDLANDS;1;17;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN12P2524_ANC5,N12P2524_ANC5,1,OdataApi)
CN870009_4L5ANR;N870009_4L5ANR;EAST_MIDLANDS;1;19;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN870009_4L5ANR,N870009_4L5ANR,1,OdataApi)
