tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
SS22907_ACTIVE_IN_LIFO;S22907_ACTIVE_IN_LIFO;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;
SS22930_HOLD_IN_OP;S22930_HOLD_IN_OP;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;
SS22899_POSITION_IN_LIFO;S22899_POSITION_IN_LIFO;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;
SWBUR_ANM_ERROR_6;WBUR_ANM_ERROR_6;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;
SS22889_HOLD_IN_OP;S22889_HOLD_IN_OP;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;
SS23196_POSITION_IN_LIFO;S23196_POSITION_IN_LIFO;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;
SS22973_FAILSAFE_IN_OP;S22973_FAILSAFE_IN_OP;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;
SS22889_ACTIVE_IN_LIFO;S22889_ACTIVE_IN_LIFO;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;
SWBUR_ANM_ONLINE;WBUR_ANM_ONLINE;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;
SWBUR_ANM_ERROR_3;WBUR_ANM_ERROR_3;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;
SS22877_HOLD_IN_OP;S22877_HOLD_IN_OP;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;
SS22877_POSITION_IN_LIFO;S22877_POSITION_IN_LIFO;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;
SWBUR_ANM_ERROR_7;WBUR_ANM_ERROR_7;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;
SS22907_FAILSAFE_IN_OP;S22907_FAILSAFE_IN_OP;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;
