ts_num;my_vcc;do_interval;interval_period;do_integrity;integrity_period;do_change;buffer_time;do_rbe;do_initial_read;critical;all_changes;reduced_ts
0;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
1;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
2;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
3;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
4;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
5;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
6;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
7;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
8;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
9;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
10;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
11;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
12;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
13;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
14;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
15;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
16;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
17;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
18;EAST_MIDLANDS;0;0;1;1000;1;1;1;1;0;0;0
19;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
20;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
21;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
22;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
23;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
24;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
25;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
26;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
27;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
28;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
29;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
30;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
31;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
32;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
33;EAST_MIDLANDS;0;0;1;2000;1;1;1;1;0;0;0
