tag_name;cim_obj_id;cim_network_id;cim_obj;odata_type;cim_notify;function
N23P5126_CB06;_0ad90472-1884-4a6f-931b-5f127070aa2f;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N00G0038_CB405;_eadba3b8-3e7a-41b0-8c15-4741c7e90aef;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22907_ACTIVE_IN_LIFO;_8926417b-d1c4-4748-ad58-450ebf5fe69d;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;ODataToICCPServer_Bool("EAST_MIDLANDS",S22907_ACTIVE_IN_LIFO,SS22907_ACTIVE_IN_LIFO,1,IccpApi)
N890044_1L5ANV;_fbe52d51-024b-4106-bb1f-eecb1756a880;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N00G0038_132_IS204;_af392a4e-f06b-42b8-9018-16fb030f1ada;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S23196_AUTOMATION_EN;_2b4b7304-de12-43aa-aac9-d382b44f7a60;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0372_ANA1;_81ffa4f6-021b-46de-b5c6-09cba3676c6d;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S22930_HOLD_IN_OP;_91e6731d-1e77-4405-acc2-530395e63115;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;ODataToICCPServer_Bool("EAST_MIDLANDS",S22930_HOLD_IN_OP,SS22930_HOLD_IN_OP,1,IccpApi)
N00G0038_HB280;_fb17125f-0c11-4f32-9e63-625b996904e2;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N907046_03ANW;_474198a1-e643-4970-bff9-42ef392d375e;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_449523_r;_778f6da5-6af2-41c6-806b-6d6bf6a70e5a;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0094_7718;_e09fb5e2-e057-4dad-8b8e-1a24b2cbb893;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S23200_ANM_MW_IMP_SP;_735e0f57-a97c-4421-a0f8-40ecfcc1bdb2;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S23200_ANM_MW_IMP_SP,CS23200_ANM_MW_IMP_SP,1,IccpApi)
ALIAS_156678_H;_cf0b3807-cf22-4e53-bf67-3d38d1229367;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0369_ANA1;_eb7c5c2f-dfe2-4bd7-898b-736c183dd49c;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S22889_AUTOMATION_EN;_5beaaf91-2053-496a-a74a-58e2ada253e2;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N00G0038_IS124;_d03593c0-9b1e-4f75-8b15-0f1f87a7a09f;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22889_LOCAL_MODE;_d3871c2f-7454-4146-ab17-96c411461361;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22899_POSITION_IN_LIFO;_d44c9c63-400f-4891-b038-c483f45cdcb0;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;ODataToICCPServer_Analog("EAST_MIDLANDS",S22899_POSITION_IN_LIFO,SS22899_POSITION_IN_LIFO,1,IccpApi)
N23P0112_ANC1;_260e7d5a-87e7-4804-b446-3ca423572627;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N890044_HB2H0;_cde0db90-5edf-4646-a685-8e6d7e17bc09;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N890044_2S0ANR_WBUR;_f640a475-23e7-4c85-b72a-823096e8c661;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
WBUR_ANM_ERROR_6;_9c6979c3-0d09-4e6d-a01e-06225807d991;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;ODataToICCPServer_Bool("EAST_MIDLANDS",WBUR_ANM_ERROR_6,SWBUR_ANM_ERROR_6,1,IccpApi)
N23G0127_IS203;_cf68e541-8f31-4da7-b79f-60a5310e5268;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22889_HOLD_IN_OP;_f85dc7c0-ea4b-4964-a5fc-5be2fff75df2;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;ODataToICCPServer_Bool("EAST_MIDLANDS",S22889_HOLD_IN_OP,SS22889_HOLD_IN_OP,1,IccpApi)
N907000_CB20;_d550406d-03cc-4bb0-896a-533d2a66eaaf;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S23196_POSITION_IN_LIFO;_64ffd0fd-5b68-4486-99cc-ea23b43161fe;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;ODataToICCPServer_Analog("EAST_MIDLANDS",S23196_POSITION_IN_LIFO,SS23196_POSITION_IN_LIFO,1,IccpApi)
S22973_FAILSAFE_IN_OP;_d1401091-5a93-42ba-b39b-098d54f7c41a;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;ODataToICCPServer_Bool("EAST_MIDLANDS",S22973_FAILSAFE_IN_OP,SS22973_FAILSAFE_IN_OP,1,IccpApi)
N23GA126_IS407;_24c0e19e-a185-4cf7-93ac-bdd891b6322e;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_2305514_O;_61bc7365-ddc2-4e81-8a11-120d8ed00aaf;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22907_ANM_MVAR_IMP_SP;_bc6dacc7-5505-4154-a9bd-974d602f307a;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22907_ANM_MVAR_IMP_SP,CS22907_ANM_MVAR_IMP_SP,1,IccpApi)
N23P0094_SDB001;_e649f32e-0bdb-46cb-a05d-0e4f3cc605ef;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N51G3006_HB01;_949c7666-6531-4ac4-9cdf-7293f3ea8aa6;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N907213_02ANW;_89eedc9c-933d-4718-bffe-18ba85838210;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_2305644_O;_ff4cc0f0-daa3-4583-9c5b-8e08a746cfbf;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N44901_2090;_4eda53a8-79d9-4f16-a549-48b0314799d1;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_157740_H;_50874568-4540-4d5e-a031-336a24a69edf;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_4315386_w;_f78598ca-85af-40c2-a8d7-12fde248c41d;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_1055632_H;_d49f6c03-eb3d-4c35-855f-801972cb6c62;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0130_ANC5;_ab3907e9-e77f-4b86-917a-e008775cae58;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S22877_COMMS_FAIL;_ade63420-eed8-48a2-9ce9-5ccf750acd06;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_32021_R;_97a1b71d-1208-44ae-85bf-6a0901a7d5d9;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S22889_ANM_MVAR_IMP_SP;_dedf688e-858d-415f-b961-02ad4e578b4c;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22889_ANM_MVAR_IMP_SP,CS22889_ANM_MVAR_IMP_SP,1,IccpApi)
N890044_2L5ANW;_588d2faf-3ada-4dcb-9ca0-5bb72c0f9bcf;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_449190_r;_2a81b92d-ccb8-47ab-961a-59980e97c98f;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N23G0128_ANA2;_ef876606-bf35-477b-80f3-7d985fc1c363;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N890044_HB1L5;_de96a4de-5c61-4515-8cba-475869623db1;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22889_ACTIVE_IN_LIFO;_aadd9845-860c-47f5-b624-6f47e3f2aa2e;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;ODataToICCPServer_Bool("EAST_MIDLANDS",S22889_ACTIVE_IN_LIFO,SS22889_ACTIVE_IN_LIFO,1,IccpApi)
S22907_ANM_MW_EXP_SP;_1e1206b3-1916-4872-87b4-0694435f5038;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22907_ANM_MW_EXP_SP,CS22907_ANM_MW_EXP_SP,1,IccpApi)
S22907_LOCAL_MODE;_3782e44d-394f-442b-8618-4e8402f8feeb;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0372_HB03;_34f70674-b866-4720-bd99-08951f247e82;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22889_ANM_MVAR_FAILSAFE_IMP_SP;_b368bd1f-080d-4309-a8f7-3064d335ed47;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22889_ANM_MVAR_FAILSAFE_IMP_SP,CS22889_ANM_MVAR_FAILSAFE_IMP_SP,1,IccpApi)
ALIAS_37323_m;_99ed9d79-fc70-404b-9b4a-9d811f5dfa73;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_449202_r;_4c90dc2a-d653-4c1a-8045-fcb4a22969bc;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
WBUR_ANM_ONLINE;_35c541ac-ffee-48a9-ad93-e93ba570a0e0;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;ODataToICCPServer_Bool("EAST_MIDLANDS",WBUR_ANM_ONLINE,SWBUR_ANM_ONLINE,1,IccpApi)
ALIAS_2057268_E;_18761d43-474a-40e0-b15a-c3de587bd9d5;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N00G0038_IS116;_5e374fcf-48bc-4080-bf24-9b3219eeee72;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N00G0038_132_405ANV;_d8504d07-c5ea-4ef2-88d2-a2ecf308ec95;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S22973_ANM_MW_EXP_SP;_24c1f961-aa44-416e-86cc-af46388c10c0;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22973_ANM_MW_EXP_SP,CS22973_ANM_MW_EXP_SP,1,IccpApi)
N00G0038_132_305ANV;_84eb5741-bbcd-4ed8-8035-3c8841e9c0cb;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N00G0038_IS184;_5aac8396-27f0-479a-954c-5854ab673775;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S23202_ANM_MW;_7a05e20b-04f1-458a-8787-eb73de63bec2;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;
S22973_ANM_MVAR_FAILSAFE_IMP_SP;_348ddc39-a475-4708-970d-43bf20377d50;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22973_ANM_MVAR_FAILSAFE_IMP_SP,CS22973_ANM_MVAR_FAILSAFE_IMP_SP,1,IccpApi)
N23P0372_SW01;_b944c1ac-bafe-4ac6-89a7-6b1bb4184bde;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0094_CB4L5;_19543baa-c530-4885-a2ec-3b7b0b0be451;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22867_LOCAL_MODE;_5a760acd-4eb3-4a2b-b6a7-7d95ea654ffd;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N900027_03ANV;_57d17884-20aa-4795-9161-0ca396f1055c;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_217516_R;_3f9b81db-e136-42bf-82b3-af6ee4078c94;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S22899_COMMS_FAIL;_d7edac12-38a6-4244-abe0-05d0da547b87;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N00G0038_IS186;_4c61518c-66dd-4d27-a355-6da1e4c05f98;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_717869_E;_c7ffd491-3e5b-4167-9a28-11a581cd1a1b;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N00G0038_132_IS206;_f04ff723-70ce-4bf4-a02b-730659039173;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N906387_02ANR;_657a99bc-bb36-46da-92e1-9c4307ca9c3d;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N23P0112_ANB9;_5e70e397-8a27-42d5-9019-356a15f29ee2;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N44901_7745;_6706d287-b7f3-4612-9304-19372591bcdb;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N00G0038_IS384;_0f1ae4f1-4b41-49da-a7b6-4389288e2379;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0090_CB06_33;_38cf4bf0-3bcc-4ea3-b358-2503ad125bb3;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_4247496_a;_8c6750a6-7ded-414b-be90-5f7c0dd505f8;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0112_CB01;_0d5a8142-13e0-4dde-9c98-99e77e33af66;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0090_CB32;_a1b0ce94-9f5f-45a8-9047-8354d00fefa1;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
WBUR_ANM_ERROR_3;_a9304cad-992a-4d7d-9002-85aa189679f1;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;ODataToICCPServer_Bool("EAST_MIDLANDS",WBUR_ANM_ERROR_3,SWBUR_ANM_ERROR_3,1,IccpApi)
N44901_7746;_075491ae-1071-403d-959e-c2a1e136d56c;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S22973_ANM_MVAR_IMP_SP;_40e353fc-8fd1-4248-863d-d3f9f3cc8806;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22973_ANM_MVAR_IMP_SP,CS22973_ANM_MVAR_IMP_SP,1,IccpApi)
S22899_ANM_MVAR_EXP_SP;_f1e92cc7-5df1-4df6-80c2-6e9b20868801;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22899_ANM_MVAR_EXP_SP,CS22899_ANM_MVAR_EXP_SP,1,IccpApi)
S22877_ANM_MVAR_EXP_SP;_6824f270-bdca-4438-9e3c-7bd76fff419c;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22877_ANM_MVAR_EXP_SP,CS22877_ANM_MVAR_EXP_SP,1,IccpApi)
N23P0125_ISN1;_19177ddb-4a83-414f-b2a9-fba7fd63a9cc;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N51P0078_ANA1;_8e4f8026-40d2-4c3d-aa8d-230673e647da;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S23202_ANM_MVAR_IMP_SP;_68c24684-15b7-41e7-996a-53c6d43ffaac;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S23202_ANM_MVAR_IMP_SP,CS23202_ANM_MVAR_IMP_SP,1,IccpApi)
ALIAS_4272476_a;_7c8ee2a8-8cb6-4ade-9559-5386b1cfa69c;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N907046_CB02;_683402fb-3935-4950-80a2-78fbd486be1a;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N51P0057_CB01;_d16bc8dc-3eec-4917-9a52-4bed0b237b59;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_11974551_a;_a3bb14ba-09e5-4474-a252-0970a4c2b904;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N907046_CB03;_4e098cf0-3ab6-4244-8c09-f768c86e53a8;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S23202_ANM_MVAR_FAILSAFE_IMP_SP;_29707366-40fc-4044-b6d5-ee7f8dd426bf;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S23202_ANM_MVAR_FAILSAFE_IMP_SP,CS23202_ANM_MVAR_FAILSAFE_IMP_SP,1,IccpApi)
S22877_HOLD_IN_OP;_b11746e4-73dc-4291-9f94-78b9451ddf17;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;ODataToICCPServer_Bool("EAST_MIDLANDS",S22877_HOLD_IN_OP,SS22877_HOLD_IN_OP,1,IccpApi)
S23196_ANM_MVAR_EXP_SP;_683e6319-0020-4360-a45b-2de804dc39f0;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S23196_ANM_MVAR_EXP_SP,CS23196_ANM_MVAR_EXP_SP,1,IccpApi)
N51G0039_CB220_WBUR;_4a849d2e-7243-499d-aa96-30e258475bf4;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_48689_m;_9ae364cf-cba5-405d-8950-e4322220d003;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_163840_m;_d282a1b5-6110-4cf9-bef0-3293cee278eb;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N44901_7753;_7a625fad-7798-4f9b-8f8b-d3ee8c417c2a;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_449189_r;_13fe944a-67e1-41e1-a22b-7b36b9408f24;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N23P0124_CB01;_8b16adf9-0d89-463b-9624-b0732a359698;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22930_ANM_MVAR_EXP_SP;_5fdf917d-e784-4983-bdfd-53490eeb5241;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22930_ANM_MVAR_EXP_SP,CS22930_ANM_MVAR_EXP_SP,1,IccpApi)
ALIAS_449376_r;_6ce09227-053b-4ad4-ba72-a3155611491c;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N00G0038_IS114;_0fdbab67-3919-48e2-87bb-1da1f0a6f44f;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0123_CB01;_c4d2b9fa-9fa8-4d04-a699-76a05464a4c5;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N904540_7686_ANA;_8fcc91c2-743d-4150-b786-10ff4b0b7bf4;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S22867_ANM_MVAR_IMP_SP;_946d5d35-1be4-4bb1-bcdf-f40d3e5ce09d;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22867_ANM_MVAR_IMP_SP,CS22867_ANM_MVAR_IMP_SP,1,IccpApi)
S22877_POSITION_IN_LIFO;_e5c4af6f-86cd-4d87-93a3-b8aa01dcbce2;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;ODataToICCPServer_Analog("EAST_MIDLANDS",S22877_POSITION_IN_LIFO,SS22877_POSITION_IN_LIFO,1,IccpApi)
N23P0112_SDT03;_0894e734-10b3-4605-bd98-2ca7ee1dc2cf;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0090_ANB8;_3639c9dd-6b14-4ca0-bc73-2662fc0bccce;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S23200_SCADA_MODE;_146c43c7-13a3-40f8-962b-2abfb24a5c3f;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23G1126_HB08;_159af24e-8338-4c9a-965e-dbf100e609b7;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23G0128_ANA4;_dbf546bf-29d2-416c-b39c-6884dd13ca52;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N23GA126_IS113;_fd615b27-db36-47cc-8362-4dbbd53e2a4a;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23G1126_HB10;_89a3571d-3fd0-44f8-bdd2-40297fbbf59f;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S23196_ANM_MW;_d93d7910-c55a-4f14-ae79-806f701d7ed5;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;
N00G0038_IS126;_30f48434-082c-4e17-8896-d0d4a4409dd9;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0112_ANB7;_10a2dc11-d092-466c-ba26-b3e2f3a22687;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N00G0038_IS128;_f4286157-d207-4cfb-abff-a8cbfdc0b10a;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22877_ANM_MVAR_IMP_SP;_7f34b2c4-292a-4320-bde5-e6b50785c4e6;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22877_ANM_MVAR_IMP_SP,CS22877_ANM_MVAR_IMP_SP,1,IccpApi)
ALIAS_449191_r;_ee0036ec-678b-4b88-9603-f842ec1d9e43;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_2899425_E;_a93be302-f791-4dc9-9055-35084bcbcd75;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22973_AUTOMATION_EN;_8076a913-568a-4089-8ab7-ae440c658cc9;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_226180_m;_b991599c-3e49-4615-8064-d72292540edd;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N690078_IS124;_4a787ea0-9c06-4ef5-81a6-9388a8a09526;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
